TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTract,CensusBlock,CountyName,Date,Time,Hour
WL19006523,40.954,-73.72552,10543,M,06/03/2019 01:31 PM,74.01,3008,Westchester County,06/03/2019,01:31 PM,01 PM
WL19007098,41.04866,-73.85479,10533,M,06/14/2019 11:07 AM,114.02,1047,Westchester County,06/14/2019,11:07 AM,11 AM
WL19007151,41.01079,-73.65972,10573,M,06/15/2019 11:09 AM,81,4007,Westchester County,06/15/2019,11:09 AM,11 AM
WL19007159,41.13583,-73.85834,10510,M,06/15/2019 04:44 PM,132.01,2021,Westchester County,06/15/2019,04:44 PM,04 PM
WL19007304,40.91142,-73.88905,10705,P,06/19/2019 09:03 PM,13.02,3000,Westchester County,06/19/2019,09:03 PM,09 PM
WL19007383,41.18485,-73.84476,10562,M,06/21/2019 06:47 PM,137,3004,Westchester County,06/21/2019,06:47 PM,06 PM
WL19007610,40.95516,-73.72869,10543,M,06/27/2019 03:41 PM,74.01,3004,Westchester County,06/27/2019,03:41 PM,03 PM
WL19007749,40.96278,-73.80429,10709,M,07/02/2019 09:15 AM,50.02,3013,Westchester County,07/02/2019,09:15 AM,09 AM
WL19007956,40.94618,-73.75551,10538,M,07/09/2019 10:52 AM,69,3015,Westchester County,07/09/2019,10:52 AM,10 AM
WL19008220,41.16097,-73.76753,10514,M,07/16/2019 12:16 PM,131.02,2007,Westchester County,07/16/2019,12:16 PM,12 PM
WL19008235,41.02989,-73.8665,10533,M,07/16/2019 03:34 PM,113,2005,Westchester County,07/16/2019,03:34 PM,03 PM
WL19008262,41.15093,-73.77376,10514,M,07/17/2019 11:28 AM,121.01,2002,Westchester County,07/17/2019,11:28 AM,11 AM
WL19008334,41.00801,-73.87959,10522,M,07/18/2019 10:49 PM,104,3010,Westchester County,07/18/2019,10:49 PM,10 PM
WL19008491,41.02616,-73.67817,10573,M,07/23/2019 04:48 PM,83.02,1003,Westchester County,07/23/2019,04:48 PM,04 PM
WL19008670,41.00518,-73.83689,10502,M,07/28/2019 02:00 PM,106,3042,Westchester County,07/28/2019,02:00 PM,02 PM
WL19008890,41.02997,-73.86585,10533,M,08/03/2019 12:38 PM,113,2005,Westchester County,08/03/2019,12:38 PM,12 PM
WL19009072,41.01787,-73.73035,10605,M,08/08/2019 12:19 PM,97.02,2026,Westchester County,08/08/2019,12:19 PM,12 PM
WL19009118,41.04031,-73.77239,10603,M,08/09/2019 12:11 PM,90,2000,Westchester County,08/09/2019,12:11 PM,12 PM
WL19009315,41.16423,-73.77766,10514,M,08/14/2019 01:37 PM,131.04,3021,Westchester County,08/14/2019,01:37 PM,01 PM
WL19009341,41.29223,-73.78134,10598,M,08/15/2019 11:17 AM,148.08,2043,Westchester County,08/15/2019,11:17 AM,11 AM
WL19009344,40.91798,-73.82516,10550,M,08/15/2019 11:29 AM,41,3006,Westchester County,08/15/2019,11:29 AM,11 AM
WL19009349,40.95379,-73.77854,10804,M,08/15/2019 12:52 PM,68.02,1001,Westchester County,08/15/2019,12:52 PM,12 PM
WL19009632,40.94043,-73.898,10701,M,08/23/2019 06:54 AM,4.03,2006,Westchester County,08/23/2019,06:54 AM,06 AM
WL19009811,40.95506,-73.72896,10543,M,08/25/2019 01:10 PM,74.01,3009,Westchester County,08/25/2019,01:10 PM,01 PM
WL19009830,41.02333,-73.76261,10605,M,08/26/2019 10:21 AM,95,2000,Westchester County,08/26/2019,10:21 AM,10 AM
WL19009840,40.9559,-73.83068,10707,M,08/26/2019 12:38 PM,22.01,1032,Westchester County,08/26/2019,12:38 PM,12 PM
WL19010282,40.9404,-73.77872,10804,M,09/05/2019 10:46 AM,67,3003,Westchester County,09/05/2019,10:46 AM,10 AM
WL19010513,41.03575,-73.86528,10533,M,09/08/2019 05:26 PM,113,4015,Westchester County,09/08/2019,05:26 PM,05 PM
WL19010588,41.03575,-73.86528,10533,M,09/10/2019 10:57 AM,113,4015,Westchester County,09/10/2019,10:57 AM,10 AM
WL19010622,41.0264,-73.78412,10606,M,09/11/2019 08:13 AM,91,2003,Westchester County,09/11/2019,08:13 AM,08 AM
